Tytuł kanału,Kraj,Liczba subskrybentów,Channel_id
Business in Poland,Brak danych o kraju,517,UCaMRVgk2xImJ0apXljE5Zqw
Робота в Польщі з WORK EU,PL,867,UCq7-DQHUe2QlnYxwkw1L5pA
Let's Explore TV,IN,63700,UCTwWi42vkExFjiBi8H4Lf-Q
Canobie Coaster,US,31300,UCp8lkxr2Oncfako8CpQ3GAA
Math Booster,IN,48900,UCFYcq-QDZg3lHGmdFcnE3Jw
IDevisza,PL,1490,UC26jG3br8NLw_pzX6Z3u12Q
Pedro Mota,NL,85600,UCQc2abzqbqrp-TZG3K79Wng
PolishTortoise,PL,216000,UCx22mlTERBqxg30j186hOsA
Rob Reacts,GB,37200,UCVrkUiSjOmOQ0i9JSI7mawg
Sara Dohse,Brak danych o kraju,602,UCmEzJnVFKBssY78bzGzHU8A
KLTV 7,US,1850,UCp3zquwHVcDdVqeEZEm_o-A
Vikariel,Brak danych o kraju,534,UC3BPxCRWS0JJrE3343onSMQ
Vlad Savchuk,US,1170000,UC1DuOQg0-nr99t17Ca8Hlag
Ken / Solo Japanese Style,US,54400,UC6oBqa9UQSQOK6KlokzeezQ
NewsNation,US,1060000,UCCjG8NtOig0USdrT5D1FpxQ
Defense TV,US,181000,UCV-8yg-21LmDPamSWUyr_uQ
Wild Frames,PT,1230,UClyMm-5Zn7qxkBLxkx08--A
MehowRudy,Brak danych o kraju,3780,UC0jDSqaBZo5-owXfU6h_ikw
Interslavic language - Medžuslovjansky jezyk,PL,39500,UCShYXuD2TyJlYd9UWUUiYiA
